col,word,df,tf
272,20만장,2,2
273,20분,7,7
274,20억,4,5
275,20억원,2,2
276,20여,3,3
277,20일,38,38
278,20주년,68,70
279,20회,6,6
280,213회,2,2
281,214장,2,2
282,21개,2,2
283,21세기,8,8
284,21일,44,45
285,21주년,2,2
286,22년,4,4
287,22분,2,2
288,22억,2,2
289,22위,2,2
290,22일,47,47
291,23개,6,6
292,23년,4,4
293,23년간,2,2
294,23일,40,40
295,23주년,2,2
296,24곡,2,2
297,24년,4,4
298,24시간,16,16
299,24억원,2,2
300,24위,4,4
301,24일,28,28
302,25ss,2,2
303,25th,4,4
304,25개,2,2
305,25년,4,4
306,25만장,3,3
307,25시,4,4
308,25억,5,5
309,25일,47,47
310,25주년,9,9
311,25화,2,2
312,260만장,2,2
313,26개,4,4
314,26년,4,4
315,26년차,2,2
316,26일,40,40
317,26주년,4,4
318,27개,3,3
319,27년,3,3
320,27일,37,37
321,27회,3,3
322,281장,3,3
323,28개,4,4
324,28년,4,4
325,28번째,2,2
326,28일,45,45
327,28회,2,2
328,29위,3,3
329,29일,29,29
330,29회,2,2
331,2days,2,2
332,2nd,17,18
333,2tv,7,7
334,2개,6,6
335,2개월,5,5
336,2관왕,6,6
337,2기,11,11
338,2년,46,46
339,2년간,5,5
340,2단계,2,2
341,2라운드,3,3
342,2만,18,18
343,2만3,3,3
344,2만5000명,2,2
345,2배,13,13
346,2번째,2,2
347,2부,2,2
348,2분,12,12
349,2분기,2,2
350,2세대,3,3
351,2시,3,3
352,2시간,7,7
353,2억,6,7
354,2억원,3,3
355,2에,2,2
356,2월,138,141
357,2월6일,2,2
358,2위,54,57
359,2인,2,2
360,2일,51,52
361,2일간,2,2
362,2일차,2,2
363,2장,2,2
364,2주,13,13
365,2주간,3,3
366,2주년,6,7
367,2집,41,43
368,2차,11,11
369,2천,11,11
370,2회,19,21
371,2회차,5,5
372,300개,2,2
373,300만원,3,3
374,300만장,3,3
375,300명,4,4
376,300억,2,2
377,300억원,3,3
378,300여,2,2
379,300회,3,3
380,30th,3,3
381,30가구,2,2
382,30개,4,4
383,30곡,2,2
384,30년간,2,2
385,30대,4,4
386,30만원,2,2
387,30명,3,3
388,30분,8,8
389,30억,2,2
390,30억원,2,2
391,30일,47,47
392,30주년,9,9
393,30초,3,3
394,31개,2,2
395,31억원,2,2
396,31위,2,2
397,31일,39,39
398,31주,3,3
399,31회,4,4
400,321장,2,2
401,32번째,2,2
402,32위,2,2
403,32회,7,7
404,330명,2,2
405,34개,2,2
406,34회,2,2
407,357원,2,2
408,35위,2,2
409,35일,3,3
410,365일간,3,3
411,367장,4,4
412,36회,2,2
413,373장,2,2
414,388장,2,2
415,390장,2,2
416,39회,4,4
417,3ce,2,2
418,3days,2,2
419,3logy,8,8
420,3rd,14,15
421,3가지,2,2
422,3개,17,17
423,3개월,8,8
424,3개월간,2,2
425,3곡,6,6
426,3관왕,8,8
427,3기,9,9
428,3년,29,30
429,3년간,2,2
430,3대,8,8
431,3만,27,28
432,3만명,2,2
433,3만여,2,2
434,3만원,2,2
435,3명,2,2
436,3배,4,4
437,3번째,10,10
438,3부작,3,3
439,3분,12,12
440,3사,4,4
441,3세대,2,2
442,3시,3,3
443,3시간,7,7
444,3억,13,13
445,3억원,8,8
446,3월,148,154
447,3위,40,41
448,3인,3,3
449,3일,52,52
450,3일간,18,18
451,3장,3,3
452,3종,8,8
453,3주,8,9
454,3주간,2,2
455,3주년,5,5
456,3집,38,38
457,3차,2,2
458,3천,11,11
459,3층,2,2
460,3편,2,2
461,3회,22,22
462,3회차,7,7
463,400명,2,2
464,400억,2,2
465,400억원,2,2
466,406회,2,2
467,40th,3,3
468,40개,2,2
469,40년간,2,2
470,40만장,2,2
471,40억원,2,2
472,40주년,15,15
473,41개,2,2
474,41년,3,3
475,420장,2,2
476,42년,2,2
477,450만장,2,2
478,460만장,2,2
479,461장,2,2
480,475명,2,2
481,48위,2,2
482,4dx,3,5
483,4th,11,12
484,4ward,4,4
485,4개,14,14
486,4개월,10,10
487,4곡,3,3
488,4관왕,2,2
489,4년,20,20
490,4년간,5,5
491,4대,3,3
492,4만,24,25
493,4배,2,2
494,4번째,4,4
495,4부작,2,2
496,4분기,2,2
497,4세대,7,7
498,4시간,2,2
499,4억,5,5
500,4연속,4,4
501,4월,169,172
502,4월8일,2,2
503,4위,17,17
504,4인,5,5
505,4인조,2,2
506,4일,48,48
507,4일간,3,3
508,4주,5,5
509,4주년,6,6
510,4집,25,25
511,4천,15,16
512,4회,7,7
513,5000만원,2,2
514,5000명,2,2
515,5000병,2,3
516,500만원,4,4
517,500만장,6,6
518,500석,2,2
519,500장,2,2
520,50s,2,2
521,50th,2,2
522,50대,2,2
523,50만원,2,2
524,50만장,3,3
525,50번째,2,2
526,50억,6,6
527,50억원,4,4
528,50인,4,4
529,50주년,3,3
530,513만장,2,2
531,51회,4,4
532,520만장,2,2
533,52일,2,2
534,53일,2,2
535,545장,2,2
536,551장,2,2
537,577장,4,4
538,5m,5,5
539,5th,10,10
540,5개,17,17
541,5개국,2,2
542,5개월,6,6
543,5곡,5,5
544,5관왕,4,4
545,5기,5,5
546,5년,14,14
547,5년간,2,2
548,5대,2,2
549,5만,24,25
550,5만장,2,2
551,5명,4,4
552,5배,4,4
553,5번째,7,7
554,5부작,5,7
555,5분,14,14
556,5억,9,11
557,5억원,3,3
558,5월,215,233
559,5월4일,2,2
560,5위,15,15
561,5인,17,17
562,5인조,2,2
563,5일,24,25
564,5장,6,6
565,5주,3,3
566,5주년,6,6
567,5집,12,13
568,5천,9,10
569,5천석,2,2
570,5회,17,19
571,5회차,2,2
572,60억,3,3
573,60억뷰,2,2
574,610장,2,2
575,613명,2,2
576,63만장,2,2
577,663장,2,2
578,665억원,2,2
579,6days,2,2
580,6th,5,5
581,6개,11,11
582,6개월,6,6
583,6개월간,2,2
584,6곡,4,5
585,6관왕,3,3
586,6기,6,6
587,6년,30,31
588,6년째,2,2
589,6만,15,16
590,6배,2,2
591,6번째,10,11
592,6병꼴,2,2
593,6시,7,7
594,6억,4,5
595,6월,164,166
596,6월13일,2,2
597,6위,10,10
598,6인,6,6
599,6인조,3,3
600,6일,36,36
601,6일간,3,3
602,6주,5,5
603,6주간,3,3
604,6주년,4,4
605,6집,7,7
606,6천,7,7
607,6회,8,8
608,7000장,3,3
609,71위,2,2
610,744장,2,2
611,74위,2,2
612,75억,2,2
613,75억원,4,4
614,785장,3,3
615,78위,2,2
616,79일,2,2
617,7pm,2,2
618,7th,6,6
619,7개,17,17
620,7개월,12,12
621,7곡,5,5
622,7관왕,3,3
623,7기,5,5
624,7년,19,19
625,7년만,2,2
626,7만,18,18
627,7만장,2,2
628,7명,3,3
629,7번째,5,5
630,7분,2,2
631,7시,4,4
632,7억,2,2
633,7월,186,191
634,7월19일,3,3
635,7위,14,14
636,7인,6,6
637,7일,44,45
638,7주,2,2
639,7주년,4,4
640,7집,4,4
641,7천,9,9
642,7회,5,5
643,807장,2,2
644,80위,2,2
645,80주년,2,2
646,81위,2,2
647,81회,2,2
648,8254병,3,3
649,855명,3,3
650,88rising,4,4
651,88위,2,2
652,8pm,2,2
653,8th,3,3
654,8가지,2,2
655,8개,14,15
656,8개국,3,3
657,8개월,4,4
658,8년,21,21
659,8만,12,12
660,8번째,3,3
661,8분,6,6
662,8시,5,6
663,8억,2,2
664,8월,337,378
665,8월9일,2,2
666,8위,18,18
667,8인조,2,2
668,8일,47,47
669,8장,2,2
670,8주,3,3
671,8집,3,3
672,8천,10,11
673,8회,10,10
674,902장,2,2
675,910장,2,2
676,91위,3,3
677,93위,3,3
678,947장,2,2
679,959장,2,2
680,998장,2,2
681,9th,2,2
682,9가,2,2
683,9개,14,14
684,9곡,3,3
685,9년,20,20
686,9만,10,10
687,9명,2,2
688,9시,3,3
689,9월,219,228
690,9위,10,10
691,9인,5,5
692,9일,38,38
693,9천,3,3
694,9호,2,2
695,9회,5,5
696,aaa,7,7
697,abc뉴스,2,2
698,academy,2,2
699,access,2,2
700,account,4,5
701,ace,2,2
702,achieve,2,2
703,achieved,5,6
704,act,33,35
705,acting,2,2
706,active,17,17
707,actively,6,6
708,activities,10,10
709,activity,8,8
710,actor,3,3
711,actress,5,5
712,acts,3,3
713,actually,3,3
714,ad,7,7
715,add,3,3
716,added,12,13
717,additional,6,6
718,adidas,5,5
719,ador,7,7
720,adults,2,2
721,advertisements,2,2
722,advertising,9,10
723,advocacy,2,2
724,aeao,2,2
725,aespa,44,47
726,age,5,5
727,age20,2,2
728,agency,11,11
729,ahead,14,14
730,ai,6,6
731,aichi,2,2
732,aimed,8,8
733,air,3,3
734,airport,5,5
735,akkademy,2,2
736,akmu,22,24
737,akmutopia,2,2
738,album,134,165
739,albums,42,48
740,algorithm,3,3
741,alive,3,3
742,alleged,2,2
743,allo,2,2
744,almond,4,4
745,alone,9,9
746,alongside,18,18
747,als,2,2
748,always,3,3
749,am,13,14
750,amazing,3,3
751,amazon,2,2
752,ambassador,56,73
753,ambassadors,17,22
754,ambassadorships,2,2
755,america,18,21
756,american,15,15
757,angeles,4,4
758,anniversary,70,78
759,announcement,16,16
760,announcements,2,2
761,announcing,2,2
762,annual,9,9
763,annually,2,2
764,answer,3,3
765,anthem,2,2
766,anti,2,2
767,anticipation,2,2
768,antifragile,5,5
769,aomg,3,3
770,apart,2,2
771,apartment,3,3
772,apec,3,3
773,apink,19,22
774,app,2,2
775,apparel,2,2
776,appear,4,4
777,appearance,11,11
778,appearances,2,2
779,appeared,8,8
780,appearing,3,3
781,apple,6,6
782,applicants,2,2
783,appointed,6,6
784,appointments,2,2
785,approach,2,2
786,approximately,3,3
787,apr,11,14
788,april,44,46
789,arena,25,27
790,argentina,4,4
791,arirang,15,15
792,ariss,4,4
793,arlington,2,2
794,armani,2,2
795,army,12,12
796,arranged,2,2
797,art,4,4
798,article,14,14
799,artist,60,66
800,artistas,2,2
801,artists,16,16
802,arts,7,7
803,ascend,2,2
804,asia,51,59
805,asiad,2,2
806,asian,23,24
807,asking,2,2
808,asnd,3,3
809,associated,2,2
810,association,6,6
811,atbo,2,2
812,ate,2,2
813,ateez,44,51
814,atiny,8,9
815,atlanta,2,2
816,atrp,2,2
817,attacca,2,2
818,attack,3,3
819,attempt,2,2
820,attend,5,5
821,attendance,14,14
822,attended,4,4
823,attendees,27,29
824,attention,3,3
825,attributed,4,4
826,audience,9,9
827,audiences,6,6
828,auditorio,5,5
829,aug,35,39
830,august,22,23
831,australia,4,4
832,authority,3,3
833,autumn,2,3
834,available,4,4
835,average,2,2
836,avex,2,2
837,award,15,17
838,awards,61,89
839,away,3,4
840,axiata,5,5
841,b41120,2,2
842,baaam,2,2
843,babies,6,6
844,baby,4,4
845,babymons7er,3,3
846,babymonster,29,31
847,back,22,22
848,backed,2,2
849,bad,5,5
850,baddie,3,4
851,baek,4,5
852,baekhyun,2,3
853,baeksang,3,3
854,baguette,2,2
855,bagus,2,2
856,baike,12,12
857,ball,2,2
858,ballad,3,3
859,balloon,2,2
860,bam,3,3
861,band,21,23
862,banda,2,2
863,bandmates,2,2
864,bang,9,15
865,bangkok,43,43
866,bangtan,2,2
867,bank,12,12
868,barcelona,2,2
869,base,5,5
870,based,4,4
871,baseline,4,4
872,batter,6,6
873,bay,3,3
874,bb,6,6
875,bbc,2,2
876,beam,3,3
877,bear,6,6
878,beat,6,6
879,beating,3,4
880,beatles,2,2
881,beautiful,9,9
882,beauty,16,19
883,became,46,47
884,becoming,4,4
885,beenzino,3,3
886,beer,2,2
887,beg,2,2
888,begin,4,4
889,beginning,3,3
890,behavior,5,5
891,beijing,4,5
892,beloved,3,3
893,bench,3,3
894,berlin,3,3
895,bersama,3,3
896,best,64,73
897,better,8,8
898,beverage,3,3
899,bexco,3,3
900,bi,2,2
901,biaf,3,3
902,biaf2026,3,3
903,biasa,3,3
904,bibi,22,23
905,bibigo,2,2
906,bible,5,5
907,big,7,7
908,bigbang,15,16
909,biggest,5,5
910,bighit,2,2
911,biiig,3,3
912,billboard,59,69
913,billed,3,3
914,billion,30,38
915,biography,7,7
916,birthday,6,6
917,black,4,4
918,blackpink,59,61
919,blind,2,2
920,blink,8,8
921,bloco,2,2
922,blog,3,3
923,bloom,4,4
924,blooms,2,2
925,blossom,4,4
926,blue,28,28
927,blueprint,2,2
928,blues,5,5
929,bmo,2,2
930,boa,20,22
931,bobby,3,3
932,body,8,9
933,bof,2,2
934,boice,5,5
935,boletos,2,2
936,bolon,3,3
937,bom,3,5
938,bomb,8,8
939,bond,2,2
940,border,2,2
941,born,29,29
942,boss,9,9
943,boucheron,2,2
944,bounce,2,2
945,bowl,2,2
946,box,6,6
947,boy,13,13
948,boys,9,11
949,boyz,2,2
950,bpkn,3,4
951,brand,81,97
952,branded,3,3
953,brasil,2,2
954,break,6,6
955,breaking,7,7
956,breakthrough,2,2
957,bridge,3,3
958,bright,2,2
959,briize,9,9
960,bring,3,3
961,bringing,2,2
962,british,2,2
963,broad,4,4
964,broadcast,9,9
965,broader,3,3
966,broke,3,3
967,bs,2,2
968,bsd,8,8
969,bstage,3,3
970,btob,35,41
971,bts,156,171
972,bts노믹스,2,2
973,bubble,2,2
974,build,3,3
975,building,4,4
976,built,3,3
977,bulgari,2,2
978,bull,2,2
979,bunnies,9,11
980,burberry,2,2
981,busan,11,11
982,business,2,2
983,button,2,2
984,buzz,2,2
985,byc,3,3
986,byeon,2,2
987,bán,3,5
988,bạn,2,2
989,b가,3,3
990,ca,3,3
991,cafe,7,7
992,café,2,2
993,california,2,2
994,call,8,8
995,called,2,2
996,calvin,3,3
997,cam,3,3
998,camp,5,6
999,campaign,34,37
1000,campaigns,2,2
1001,canada,2,2
1002,cancer,4,4
1003,canciones,2,2
1004,candidate,6,6
1005,candy,2,2
1006,cao,2,2
1007,capacity,5,5
1008,capsule,6,6
1009,carat,7,9
1010,carats,2,2
1011,card,7,7
1012,cards,2,2
1013,career,17,17
1014,carried,3,3
1015,carries,6,6
1016,casino,3,3
1017,cassiopeia,3,3
1018,cast,4,4
1019,catalog,12,12
1020,catalogue,3,4
1021,catalogued,5,5
1022,catcher,2,2
1023,category,4,4
1024,causes,2,2
1025,cbs,2,2
1026,cd,3,4
1027,cdmx,5,5
1028,celebrate,2,2
1029,celebrating,2,2
1030,celebration,2,2
1031,celebrities,2,2
1032,celebrity,9,9
1033,celine,3,3
1034,center,5,5
1035,centiner,3,3
1036,century,3,3
1037,ceremonial,2,2
1038,ceremony,9,9
1039,certification,6,6
1040,certified,4,5
1041,cf,16,16
1042,cgv,5,6
1043,ch,2,2
1044,challenge,5,5
1045,champion,4,5
1046,chan,13,14
1047,chanel,6,6
1048,change,4,4
1049,changes,2,2
1050,chanmina,2,2
1051,channel,15,16
1052,channels,2,2
1053,chaos,3,3
1054,chapter,20,21
1055,charisma,3,3
1056,charity,7,7
1057,chart,108,135
1058,charted,7,7
1059,charting,4,4
1060,charts,17,17
1061,chase,8,8
1062,chasing,2,2
1063,check,2,2
1064,checkmate,7,8
1065,cheering,2,2
1066,cherish,2,2
1067,cheshire,3,3
1068,chest,3,3
1069,chi,2,2
1070,chia,2,2
1071,chiba,2,2
1072,chicago,5,5
1073,chicken,3,4
1074,child,8,8
1075,childfund,2,2
1076,childhood,3,3
1077,children,6,8
1078,chile,2,2
1079,china,22,24
1080,chinese,35,47
1081,chiquita,2,2
1082,chocolate,5,5
1083,choice,6,6
1084,choom,8,9
1085,chopard,3,3
1086,chosun,6,6
1087,christmas,3,3
1088,chrysalis,2,2
1089,chu,3,4
1090,chul,4,4
1091,chung,4,4
1092,chungha,3,3
1093,chuu,6,7
1094,chóng,2,2
1095,chỉ,2,2
1096,cinema,4,4
1097,cinemas,6,6
1098,circle,17,17
1099,circuit,3,3
1100,cited,3,3
1101,citi,2,2
1102,cities,21,22
1103,citing,6,6
1104,city,36,37
1105,cj,7,7
1106,claire,2,2
1107,clinique,2,2
1108,closer,6,6
1109,closing,2,2
1110,clothing,2,2
1111,cloud,6,7
1112,club,88,100
1113,cm송,7,7
1114,cnblue,47,54
1115,cnn,17,17
1116,cnp,2,2
1117,co,18,18
1118,coach,5,5
1119,coachella,5,5
1120,coca,4,4
1121,code,8,8
1122,coer,6,6
1123,cohort,2,2
1124,coined,2,2
1125,cola,4,4
1126,collaborated,7,7
1127,collaboration,11,11
1128,collaborations,13,13
1129,collection,7,7
1130,colombia,3,3
1131,color,16,16
1132,colors,2,2
1133,combined,8,8
1134,combining,2,2
1135,come,13,14
1136,comeback,28,28
1137,comme,2,2
1138,commemorate,2,2
1139,comments,2,2
1140,commercial,12,12
1141,common,3,3
1142,community,13,13
1143,companions,2,2
1144,company,3,3
1145,competition,6,6
1146,complaints,2,2
1147,complete,7,7
1148,completed,7,7
1149,completely,14,14
1150,complex,5,5
1151,composed,3,3
1152,composition,2,2
1153,concept,2,2
1154,concert,180,213
1155,concerts,33,34
1156,concierto,3,3
1157,concurrent,2,2
1158,confirmed,10,10
1159,confirming,7,7
1160,conocidos,2,2
1161,consecutive,29,30
1162,consistent,5,5
1163,consistently,2,2
1164,construction,3,3
1165,content,14,14
1166,context,3,3
1167,continents,4,4
1168,continue,3,3
1169,continued,12,12
1170,continues,4,4
1171,continuing,5,5
1172,continuous,2,2
1173,continuously,2,2
1174,contract,10,10
1175,contributed,2,2
1176,controversy,5,5
1177,convenience,3,3
1178,cool,2,2
1179,copies,74,114
1180,core,5,5
1181,corner,3,3
1182,corporate,3,3
1183,corporation,2,2
1184,cortis,59,62
1185,corée,2,2
1186,cosmetic,2,2
1187,cosmetics,3,3
1188,cosmos,4,4
1189,count,2,2
1190,countdown,5,5
1191,counting,3,3
1192,countries,11,11
1193,county,3,4
1194,court,2,2
1195,cover,4,4
1196,coverage,38,39
1197,covered,45,45
1198,covering,7,7
1199,covers,3,3
1200,covid,2,2
1201,crazier,2,2
1202,crazy,12,13
1203,cream,2,2
1204,creator,2,2
1205,crescent,2,2
1206,crocs,4,4
1207,cross,13,13
1208,crossover,10,10
1209,crown,2,2
1210,cruise,2,2
1211,crush,38,46
1212,crushbomb,6,6
1213,cry,3,3
1214,cu,7,10
1215,cultura,2,2
1216,cultural,12,12
1217,culture,14,15
1218,cumulative,16,16
1219,cup,6,7
1220,curated,3,3
1221,current,2,2
1222,customer,2,2
1223,customs,2,2
1224,cyberlove,3,3
1225,cycles,2,2
1226,cộng,2,2
1227,cực,2,2
1228,daegu,7,7
1229,daejeon,5,5
1230,daily,7,7
1231,dalla,4,8
1232,damn,3,3
1233,dance,6,6
1234,dancing,2,2
1235,danielle,5,5
1236,data,4,4
1237,database,3,3
1238,date,14,14
1239,dated,6,6
1240,dates,24,24
1241,dating,3,3
1242,davichi,4,4
1243,david,3,3
1244,dawn,2,2
1245,day,54,56
1246,day2,2,2
1247,day3,2,2
1248,day6,49,51
1249,days,29,31
1250,ddu,2,4
1251,deadline,15,16
1252,deal,3,3
1253,deals,11,11
1254,dean,2,2
1255,dear,4,4
1256,debut,109,126
1257,debuted,18,19
1258,debuting,3,3
1259,dec,32,40
1260,decade,6,6
1261,decades,4,4
1262,december,8,8
1263,dedicated,34,34
1264,dejavu,2,2
1265,demand,17,17
1266,demon,3,3
1267,demonstrating,5,5
1268,dentiste,2,2
1269,departure,4,4
1270,descendants,5,5
1271,described,17,17
1272,describing,13,13
1273,destiny,7,7
1274,details,6,6
1275,detikcom,26,26
1276,detikhot,7,7
1277,detikpop,6,6
1278,diamond,2,2
1279,diary,3,3
1280,different,4,4
1281,digital,34,37
1282,dinh,2,2
1283,dior,4,4
1284,diplomatic,3,3
1285,direct,11,11
1286,directly,3,3
1287,dirty,2,2
1288,disaster,3,3
1289,disbandment,4,4
1290,disc,4,4
1291,discography,5,5
1292,discord,7,7
1293,discussed,3,3
1294,discussing,4,4
1295,discussion,4,4
1296,disney,3,4
1297,dispute,2,2
1298,distinct,2,2
1299,distribution,5,5
1300,district,3,3
1301,ditto,2,2
1302,dive,9,9
1303,dj,12,13
1304,dk,2,2
1305,dle,6,6
1306,documentary,5,5
1307,documented,3,3
1308,documents,2,2
1309,dolce,2,2
1310,domain,7,9
1311,dome,60,67
1312,domestic,9,9
1313,domestically,4,4
1314,dominance,2,2
1315,dominate,8,9
1316,dominated,2,2
1317,dominating,2,2
1318,don,14,14
1319,donated,48,51
1320,donation,3,3
1321,donations,5,6
1322,done,6,6
1323,donor,2,2
1324,door,3,3
1325,double,5,5
1326,doubt,3,3
1327,downloads,11,14
1328,dr,8,8
1329,dragon,17,22
1330,drama,18,20
1331,draw,4,4
1332,drawing,13,13
1333,dream,40,51
1334,dreams,2,2
1335,drew,43,50
1336,drip,9,9
1337,drive,5,5
1338,driven,3,3
1339,drop,2,2
1340,drove,2,2
1341,dua,2,2
1342,dubbed,3,3
1343,duet,6,6
1344,dui,2,2
1345,dumhdurum,2,2
1346,dun,2,4
1347,dunia,2,2
1348,duo,4,4
1349,duty,3,4
1350,dvd,2,2
1351,dye,2,2
1352,dynamicduo,2,2
1353,dynamite,3,3
1354,dân,4,4
1355,earlier,8,8
1356,earned,9,9
1357,earning,4,4
1358,earthquake,3,3
1359,east,3,3
1360,easy,10,10
1361,eat,3,3
1362,eclipse,2,2
1363,economic,4,4
1364,economy,2,2
1365,ecosystem,3,3
1366,edition,9,9
1367,effect,2,2
1368,eight,4,4
1369,elegant,2,2
1370,eleven,5,5
1371,elf,2,2
1372,elsword,2,2
1373,emerging,3,3
1374,emotive,2,2
1375,empathy,4,4
1376,empire,2,2
1377,ena,6,6
1378,encore,10,10
1379,encyclopedia,6,6
1380,end,17,18
1381,ended,2,2
1382,endorsement,4,5
1383,endorsements,5,5
1384,energetic,2,2
1385,eng,2,2
1386,engagement,15,15
1387,english,2,2
1388,enhypen,4,4
1389,enka,8,9
1390,enlistment,5,5
1391,enm,4,4
1392,enrollment,3,3
1393,entered,2,2
1394,entertainment,51,57
1395,enthusiastic,2,2
1396,entire,3,3
1397,entirely,4,4
1398,entre,3,3
1399,entries,6,6
1400,entry,19,21
1401,ep,93,101
1402,epik,5,5
1403,epikase,2,2
1404,episode,6,6
1405,eps,3,3
1406,equivalent,3,3
1407,era,7,7
1408,essentialism,2,2
1409,established,4,4
1410,estadio,5,5
1411,estadios,2,2
1412,este,4,4
1413,estimated,12,12
1414,eta,2,2
1415,etc,3,3
1416,etude,3,3
1417,eun,5,5
1418,eunbi,7,8
1419,europe,15,16
1420,european,4,4
1421,eve,11,11
1422,event,18,19
1423,events,9,10
1424,ever,44,45
1425,everything,4,4
1426,evidence,13,13
1427,exceed,4,4
1428,excl,4,5
