col,word,df,tf
465,30개,5,5
466,30곡,3,3
467,30년간,2,2
468,30대,6,6
469,30만원,2,2
470,30명,7,7
471,30분,12,12
472,30억,2,2
473,30억원,2,2
474,30위,2,2
475,30일,84,84
476,30주년,23,24
477,30초,3,3
478,31개,2,2
479,31곡,2,2
480,31억원,2,2
481,31위,3,3
482,31일,72,72
483,31주,3,3
484,31회,5,5
485,321장,2,2
486,3299원,2,2
487,32번째,2,2
488,32위,3,3
489,32회,8,8
490,330명,2,2
491,33만원,2,2
492,34개,2,2
493,34회,2,2
494,357원,2,2
495,35위,2,2
496,35일,3,3
497,35주년,3,3
498,35회,2,2
499,365일간,3,3
500,367장,4,4
501,36회,2,2
502,373장,2,2
503,37위,4,4
504,388장,2,2
505,38위,2,2
506,390장,2,2
507,39회,4,4
508,3ce,2,2
509,3d,3,3
510,3logy,10,10
511,3rabica,4,4
512,3racha,2,2
513,3rd,18,19
514,3가지,2,2
515,3개,22,22
516,3개월,12,12
517,3개월간,2,2
518,3곡,7,7
519,3관왕,8,8
520,3기,12,12
521,3년,42,43
522,3년간,5,5
523,3년여,2,2
524,3대,10,10
525,3만,33,34
526,3만6천,2,2
527,3만명,2,2
528,3만여,2,2
529,3만원,2,2
530,3명,4,4
531,3배,5,5
532,3번째,12,12
533,3부작,5,5
534,3분,15,15
535,3사,5,5
536,3세대,3,3
537,3시,3,3
538,3시간,14,14
539,3억,17,17
540,3억원,11,11
541,3옥타브,2,2
542,3월,254,263
543,3위,47,48
544,3인,6,6
545,3인조,3,3
546,3일,74,74
547,3일간,24,25
548,3장,4,4
549,3종,8,8
550,3주,12,13
551,3주간,4,4
552,3주년,7,7
553,3집,50,50
554,3차,2,2
555,3천,12,12
556,3천석,2,2
557,3층,3,3
558,3편,2,2
559,3회,26,26
560,3회차,13,13
561,400명,2,2
562,400억,2,2
563,400억원,2,2
564,406회,2,2
565,40th,5,5
566,40개,2,2
567,40년간,2,2
568,40만장,2,2
569,40명,2,2
570,40억원,2,2
571,40주년,20,20
572,41개,2,2
573,41년,3,3
574,420장,2,2
575,42년,2,2
576,42회,2,2
577,43회,2,2
578,445점,2,2
579,44세,2,2
580,450만장,2,2
581,460만장,2,2
582,475명,2,2
583,48위,3,3
584,4dx,4,6
585,4th,11,12
586,4ward,5,5
587,4개,20,20
588,4개월,10,10
589,4개월간,2,2
590,4곡,4,4
591,4관왕,3,3
592,4기,3,3
593,4년,41,42
594,4년간,6,6
595,4년째,2,2
596,4대,5,5
597,4만,32,33
598,4만명,2,2
599,4배,2,2
600,4번째,5,5
601,4부작,2,2
602,4분기,3,3
603,4세대,8,8
604,4시,4,4
605,4시간,5,5
606,4억,6,6
607,4연속,4,4
608,4월,272,279
609,4월8일,2,2
610,4위,19,19
611,4인,13,13
612,4인조,8,8
613,4일,83,83
614,4일간,3,3
615,4주,6,6
616,4주년,9,9
617,4집,33,33
618,4천,18,19
619,4회,17,17
620,5000만원,5,5
621,5000만원씩,3,3
622,5000명,4,4
623,5000병,2,3
624,500만원,7,7
625,500만장,6,6
626,500명,2,2
627,500석,2,2
628,500장,3,3
629,50s,2,2
630,50th,2,2
631,50개,2,2
632,50년,2,2
633,50대,5,5
634,50만원,2,2
635,50만장,3,3
636,50명,2,2
637,50번째,2,2
638,50억,7,7
639,50억원,5,5
640,50위,2,2
641,50인,4,4
642,50점,2,2
643,50주년,5,5
644,50회,3,3
645,513만장,2,2
646,51회,4,4
647,520만장,2,2
648,52일,2,2
649,53일,2,2
650,545장,2,2
651,551장,2,2
652,577장,4,4
653,5m,5,5
654,5th,13,13
655,5개,24,24
656,5개국,2,2
657,5개월,9,9
658,5곡,7,7
659,5관왕,4,4
660,5기,5,5
661,5년,24,24
662,5년간,5,5
663,5대,2,2
664,5만,31,32
665,5만여,2,2
666,5만장,2,2
667,5명,11,11
668,5배,4,4
669,5번째,7,7
670,5부작,5,7
671,5분,17,17
672,5세대,2,2
673,5시,4,4
674,5시간,3,3
675,5억,10,12
676,5억원,3,3
677,5월,334,358
678,5월4일,2,2
679,5위,20,20
680,5인,26,26
681,5인조,6,6
682,5일,56,58
683,5일간,2,2
684,5장,7,7
685,5주,4,4
686,5주간,2,2
687,5주년,11,11
688,5집,16,17
689,5천,12,13
690,5회,20,22
691,5회차,2,2
692,6000만원,3,3
693,600명,2,2
694,60대,2,2
695,60억,3,3
696,60억뷰,2,2
697,60주년,2,2
698,610장,2,2
699,613명,2,2
700,63만장,2,2
701,650개,2,2
702,663장,2,2
703,665억원,2,2
704,6days,2,2
705,6k,2,2
706,6th,5,5
707,6개,14,14
708,6개월,12,12
709,6개월간,2,2
710,6곡,5,6
711,6관왕,3,3
712,6기,10,10
713,6년,36,37
714,6년째,3,3
715,6만,18,19
716,6명,6,6
717,6배,2,2
718,6번째,12,13
719,6병꼴,2,2
720,6시,10,10
721,6억,4,5
722,6월,259,267
723,6월13일,2,2
724,6월14일,2,2
725,6월호,3,3
726,6위,13,13
727,6인,11,11
728,6인조,9,9
729,6일,65,65
730,6일간,3,3
731,6주,6,6
732,6주간,3,3
733,6주년,7,7
734,6집,11,11
735,6천,12,12
736,6천장,2,2
737,6화,2,2
738,6회,10,10
739,7000장,4,4
740,70개국,2,2
741,70년대,2,2
742,70주년,2,2
743,71위,2,2
744,744장,2,2
745,74위,2,2
746,75억,2,2
747,75억원,4,4
748,785장,3,3
749,78위,2,2
750,79일,2,2
751,7pm,2,2
752,7th,6,6
753,7개,23,23
754,7개국,2,2
755,7개월,16,16
756,7곡,5,5
757,7관왕,4,4
758,7기,5,5
759,7년,37,37
760,7년간,4,4
761,7년만,2,2
762,7만,22,22
763,7만장,2,2
764,7명,4,4
765,7번째,6,6
766,7분,2,2
767,7시,7,7
768,7억,2,2
769,7월,289,301
770,7월19일,5,5
771,7월22일,2,2
772,7위,15,15
773,7인,8,8
774,7인조,5,5
775,7일,75,76
776,7주,2,2
777,7주년,7,7
778,7집,6,6
779,7천,11,11
780,7편,2,2
781,7회,12,12
782,800바트,2,3
783,807장,2,2
784,80곳,3,3
785,80년대,3,3
786,80위,2,2
787,80주년,2,2
788,81위,2,2
789,81회,2,2
790,8254병,3,3
791,855명,3,3
792,86위,2,2
793,88rising,4,4
794,88위,2,2
795,8pm,2,2
796,8th,4,4
797,8가지,3,3
798,8개,19,20
799,8개국,5,5
800,8개월,8,8
801,8기,2,2
802,8년,37,37
803,8년간,3,3
804,8만,15,15
805,8배,2,2
806,8번째,4,4
807,8분,8,8
808,8시,8,9
809,8시간,2,2
810,8억,2,2
811,8억원,2,2
812,8월,465,513
813,8월9일,2,2
814,8위,20,20
815,8인,3,3
816,8인조,5,5
817,8일,80,80
818,8일경,2,2
819,8일자,2,2
820,8장,2,2
821,8주,3,3
822,8주년,4,4
823,8집,8,8
824,8천,13,14
825,8회,17,17
826,902장,2,2
827,90위,2,2
828,910장,2,2
829,91위,5,5
830,93위,4,4
831,947장,2,2
832,959장,2,2
833,992장,2,2
834,998장,2,2
835,9th,2,2
836,9가,3,3
837,9개,14,14
838,9개월,4,4
839,9곡,3,3
840,9년,30,31
841,9만,12,12
842,9만석,3,3
843,9명,2,2
844,9시,3,3
845,9월,405,441
846,9월27일,2,2
847,9월호,4,4
848,9위,11,12
849,9의,2,2
850,9인,10,10
851,9일,67,67
852,9점대,2,2
853,9집,2,2
854,9천,4,4
855,9호,3,3
856,9회,5,5
857,aaa,11,12
858,abc,3,3
859,abc뉴스,2,2
860,academy,2,2
861,access,3,3
862,accompanied,2,2
863,accor,2,2
864,account,9,10
865,ace,2,2
866,achieve,2,2
867,achieved,6,7
868,act,35,37
869,acting,2,2
870,active,17,17
871,actively,6,6
872,activities,10,10
873,activity,8,8
874,actor,3,3
875,actress,5,5
876,acts,4,4
877,actually,3,3
878,ad,7,7
879,add,3,3
880,added,12,13
881,additional,8,8
882,adidas,5,5
883,ador,7,7
884,ads,3,3
885,adults,2,2
886,advance,2,2
887,advertisements,2,2
888,advertising,12,13
889,advocacy,2,2
890,ae,2,2
891,aeao,3,3
892,aespa,69,76
893,again,18,18
894,against,2,2
895,age,5,5
896,age20,3,4
897,agency,11,11
898,ah,2,2
899,ahc,2,2
900,ahead,19,19
901,ai,13,13
902,aichi,3,3
903,aimed,8,8
904,air,5,5
905,airport,5,5
906,akkademy,2,2
907,akmu,29,34
908,akmutopia,2,2
909,al,5,5
910,album,146,183
911,albums,46,54
912,algorithm,3,3
913,alive,3,3
914,alleged,2,2
915,allkpop,30,30
916,allo,2,2
917,almond,4,4
918,alone,8,8
919,along,2,2
920,alongside,21,21
921,already,7,7
922,alright,2,2
923,als,2,2
924,always,7,7
925,am,19,20
926,amazing,5,7
927,amazon,4,4
928,ambassador,64,82
929,ambassadors,19,24
930,ambassadorships,2,2
931,ameblo,3,3
932,america,21,24
933,american,15,15
934,amuse,2,2
935,ang,2,2
936,angel,2,2
937,angeles,5,5
938,anh,2,2
939,anniversary,77,87
940,announcement,17,17
941,announcements,2,2
942,announcing,2,2
943,annual,13,13
944,annually,2,2
945,answer,3,3
946,anthem,2,2
947,anti,2,2
948,anticipation,3,3
949,antifragile,5,5
950,aomg,4,4
951,apart,2,2
952,apartment,4,4
953,apec,3,3
954,apink,30,34
955,app,2,2
956,apparel,3,3
957,appear,4,4
958,appearance,10,10
959,appearances,2,2
960,appeared,10,10
961,appearing,3,3
962,appears,2,2
963,apple,7,7
964,applicants,2,2
965,appointed,7,7
966,appointments,2,2
967,approach,2,2
968,approximately,3,3
969,apr,14,21
970,april,51,53
971,apt,4,4
972,aqua,2,2
973,ar,4,5
974,arakpop,5,5
975,arena,32,36
976,areq,2,2
977,argentina,5,5
978,argus,3,3
979,aria,5,7
980,arirang,16,16
981,ariss,4,4
982,ark,2,2
983,arlington,2,2
984,armageddon,2,2
985,armani,2,2
986,army,17,19
987,around,11,11
988,arranged,2,2
989,art,4,4
990,article,14,14
991,artist,69,77
992,artistas,2,2
993,artists,19,19
994,arts,8,8
995,asal,3,3
996,ascend,2,2
997,asea,5,5
998,asi,2,2
999,asia,75,86
1000,asiad,2,2
1001,asiaholic,2,2
1002,asian,24,25
1003,asking,2,2
1004,asnd,4,4
1005,associated,2,2
1006,association,8,8
1007,atbo,2,2
1008,ate,4,4
1009,ateez,50,57
1010,atiny,9,10
1011,atlanta,2,2
1012,atrp,3,3
1013,attacca,2,2
1014,attack,5,5
1015,attempt,2,2
1016,attend,5,5
1017,attendance,14,14
1018,attended,4,4
1019,attendees,27,29
1020,attention,3,3
1021,attributed,3,3
1022,audience,9,9
1023,audiences,6,6
1024,audio,2,2
1025,auditorio,4,4
1026,aug,35,39
1027,august,24,25
1028,australia,11,11
1029,australia와,4,4
1030,authority,3,3
1031,autumn,2,3
1032,available,4,4
1033,average,2,2
1034,avex,7,7
1035,awa,2,2
1036,awake,2,2
1037,award,15,17
1038,awards,75,105
1039,away,6,7
1040,axiata,5,5
1041,b100,2,2
1042,b41120,2,2
1043,ba,25,25
1044,baaam,3,3
1045,babies,8,8
1046,baby,7,7
1047,babymons7er,4,4
1048,babymonster,44,48
1049,back,26,26
1050,backed,2,2
1051,backstage,2,2
1052,bad,9,9
1053,baddie,3,4
1054,baek,5,6
1055,baekhyun,2,3
1056,baeksang,3,3
1057,baguette,2,2
1058,bagus,2,2
1059,baidu,15,16
1060,baike,12,12
1061,balance,2,2
1062,ball,2,2
1063,ballad,4,4
1064,balloon,3,3
1065,bam,3,3
1066,band,22,24
1067,banda,2,2
1068,bandmates,2,2
1069,bandwagon,3,3
1070,bang,11,18
1071,bangkok,51,53
1072,bangkokbiznews,2,2
1073,bangtan,2,2
1074,bank,13,13
1075,bapal,2,2
1076,barcelona,2,2
1077,barks,26,26
1078,bars,2,2
1079,base,5,5
1080,based,6,6
1081,baseline,4,4
1082,batter,7,7
1083,battlegrounds,2,2
1084,bay,4,4
1085,bb,6,6
1086,bbc,2,2
1087,bc카드,4,4
1088,beam,4,4
1089,bear,6,6
1090,beat,9,9
1091,beatbox,2,2
1092,beating,3,4
1093,beatles,2,2
1094,beautiful,13,13
1095,beauty,17,20
1096,became,47,48
1097,because,2,2
1098,becoming,4,4
1099,beenzino,7,7
1100,beer,2,2
1101,beg,2,2
1102,begin,4,4
1103,beginning,3,3
1104,behavior,5,5
1105,behind,5,5
1106,beijing,4,5
1107,bella,3,3
1108,beloved,4,4
1109,bench,3,3
1110,benefit,2,2
1111,berlin,3,3
1112,bermensch,11,11
1113,bersama,3,3
1114,best,77,87
1115,better,8,8
1116,beverage,4,4
1117,bexco,4,4
1118,beyond,17,18
1119,bgm,2,2
1120,bi,4,4
1121,biaf,3,3
1122,biaf2026,3,3
1123,biasa,3,3
1124,bibi,32,35
1125,bibigo,2,2
1126,bible,7,7
1127,big,10,10
1128,bigbang,14,16
1129,bigc,2,2
1130,biggest,5,5
1131,bighit,2,2
1132,biiig,3,3
1133,bikin,3,3
1134,bilibili,3,3
1135,billboard,80,93
1136,billed,3,3
1137,billion,30,38
1138,biobiochile,2,2
1139,biography,7,7
1140,bird,2,2
1141,birthday,9,9
1142,black,8,9
1143,blackpink,77,80
1144,blica,8,8
1145,blind,3,3
1146,blink,8,8
1147,block,2,2
1148,bloco,2,2
1149,blog,10,11
1150,bloglabanana,9,9
1151,bloom,6,6
1152,blooms,4,4
1153,blossom,4,4
1154,blue,37,38
1155,blueprint,2,2
1156,blues,6,6
1157,bmo,2,2
1158,bo,2,2
1159,boa,29,33
1160,board,4,5
1161,bobby,3,3
1162,body,8,9
1163,bof,2,2
1164,boice,8,8
1165,bol4,7,8
1166,boleh,2,2
1167,boletos,2,2
1168,bolon,3,3
1169,bom,4,6
1170,bomb,8,8
1171,bond,2,2
1172,bonsang,2,2
1173,boom,2,2
1174,boompala,2,2
1175,border,2,2
1176,born,35,35
1177,boss,11,11
1178,boucheron,3,3
1179,bounce,2,2
1180,bowl,2,2
1181,box,8,8
1182,boy,18,18
1183,boys,9,11
1184,boyz,2,2
1185,bpkn,3,4
1186,brand,87,105
1187,branded,3,3
1188,brasil,3,3
1189,brazil,3,3
1190,break,9,9
1191,breaking,8,8
1192,breakthrough,2,2
1193,breakup,2,2
1194,bridge,4,4
1195,bright,3,4
1196,briize,10,10
1197,bring,4,4
1198,bringing,2,2
1199,brit,2,2
1200,british,4,4
1201,broad,4,4
1202,broadcast,9,9
1203,broader,3,3
1204,broke,3,3
1205,brown,2,2
1206,bs,2,2
1207,bsd,8,8
1208,bst,3,3
1209,bstage,5,5
1210,btob,43,51
1211,bts,205,232
1212,bts노믹스,2,2
1213,bubble,2,2
1214,buddies,2,2
1215,build,4,4
1216,building,4,4
1217,built,3,3
1218,bulgari,2,2
1219,bull,2,2
1220,bullet,3,4
1221,bunnies,12,14
1222,bunny,2,2
1223,burberry,2,2
1224,busan,11,11
1225,business,2,2
1226,butter,4,4
1227,button,2,2
1228,buyer,2,2
1229,buzz,2,2
1230,buzzy,3,3
1231,byc,3,3
1232,byeon,2,2
1233,b가,3,3
1234,b를,2,2
1235,ca,3,3
1236,cada,2,2
1237,caf,2,2
1238,cafe,8,8
1239,california,2,2
1240,call,9,9
1241,called,3,3
1242,calling,2,2
1243,calvin,3,3
1244,cam,3,3
1245,camp,5,6
1246,campaign,37,41
1247,campaigns,2,2
1248,canada,2,2
1249,cancer,4,4
1250,canciones,2,2
1251,candidate,6,6
1252,candy,3,3
1253,cao,2,2
1254,capacity,5,5
1255,cape,3,3
1256,capsule,6,6
1257,carat,11,13
1258,carats,3,3
1259,card,8,8
1260,cards,3,3
1261,care,3,3
1262,career,17,17
1263,carmen,6,6
1264,carnival,2,2
1265,carried,3,3
1266,carries,6,6
1267,carture,2,2
1268,casino,3,3
1269,cassiopeia,3,3
1270,cast,4,4
1271,casual,2,2
1272,catalog,13,13
1273,catalogue,3,4
1274,catalogued,5,5
1275,catcher,2,2
1276,categories,2,2
1277,category,5,5
1278,causes,2,2
1279,cbc,11,11
1280,cbc뉴스,3,3
1281,cbs,2,2
1282,cctv,3,3
1283,cd,8,10
1284,cdmx,7,7
1285,celebrate,2,2
1286,celebrating,2,2
1287,celebration,3,3
1288,celebratory,2,2
1289,celebrities,2,2
1290,celebrity,9,9
1291,celine,6,6
1292,center,7,7
1293,centiner,4,4
1294,century,3,3
1295,ceo,2,5
1296,ceremonial,2,2
1297,ceremony,11,11
1298,certification,10,10
1299,certifications,2,2
1300,certified,4,5
1301,cf,23,23
1302,cgv,9,10
1303,ch,11,16
1304,cha,2,2
1305,challenge,6,7
1306,champion,4,5
1307,chan,13,14
1308,chanel,7,7
1309,change,4,4
1310,changes,2,2
1311,changmin,2,2
1312,chanmina,3,3
1313,channel,15,16
1314,channels,2,2
1315,chaos,3,3
1316,chapter,24,25
1317,character,2,2
1318,charisma,3,3
1319,charity,7,7
1320,chart,121,147
1321,charted,9,9
1322,charting,4,4
1323,charts,33,33
1324,charts와,2,2
1325,chase,10,10
1326,chasing,3,3
1327,check,2,2
1328,checkmate,8,9
1329,cheering,3,3
1330,chemistry,3,3
1331,cherish,2,2
1332,cherry,2,2
1333,cheshire,3,3
1334,chest,5,5
1335,chi,4,4
1336,chia,2,2
1337,chiba,2,2
1338,chicago,6,6
1339,chicken,3,4
1340,child,8,8
1341,childfund,2,2
1342,childhood,3,3
1343,children,7,9
1344,chile,4,4
1345,china,24,26
1346,chinanews,2,2
1347,chinatimes,2,2
1348,chinese,35,47
1349,chiquita,4,4
1350,chk,2,4
1351,cho,7,7
1352,chocolate,5,5
1353,choice,7,7
1354,choom,11,12
1355,chopard,3,3
1356,choreography,2,2
1357,chosun,6,6
1358,christmas,4,4
1359,chrysalis,2,2
1360,chu,4,5
1361,chul,4,4
1362,chung,4,4
1363,chungha,3,3
1364,chuu,7,8
1365,cinema,6,6
1366,cinemas,6,6
1367,cineplay,2,2
1368,cineplex,2,2
1369,circle,18,18
1370,circuit,4,4
1371,cited,3,3
1372,citi,2,2
1373,cities,23,24
1374,citing,8,8
1375,city,40,41
1376,cix,2,2
1377,cj,12,12
1378,cl,3,3
1379,claire,3,3
1380,click,2,2
1381,clinique,2,2
1382,clio,2,2
1383,closer,10,10
1384,closing,3,3
1385,clothing,2,2
1386,cloud,7,8
1387,club,98,111
1388,clusive,2,2
1389,cm송,15,15
1390,cn,47,51
1391,cnblue,55,64
1392,cnn,18,18
1393,cnn인도네시아,2,2
1394,cnp,2,2
1395,co,62,62
1396,coach,6,6
1397,coachella,6,6
1398,coca,4,4
1399,code,8,8
1400,coer,7,7
1401,coined,2,2
1402,cola,4,4
1403,collaborated,7,7
1404,collaboration,12,12
1405,collaborations,13,13
1406,collection,8,8
1407,colombia,3,3
1408,color,20,20
1409,coloring,2,2
1410,colors,2,2
1411,com,186,193
1412,combined,9,9
1413,combining,2,2
1414,come,13,14
1415,comeback,28,28
1416,comercio,2,2
1417,comme,2,2
1418,commemorate,2,2
1419,comments,2,2
1420,commercial,14,14
1421,common,4,4
